source,experiment,stain,subject_id,intensity_mean,intensity_std,intensity_skew,intensity_kurt,freq_band0,freq_band1,freq_band2,freq_band3,freq_band4,grad_mean,grad_std,gmm_mean1,gmm_mean2,gmm_weight1,gmm_std1,PC1,PC2,PC3,PC4,PC5
real,,Abeta,000,-0.43398535,-0.37641245,-0.027283905,-0.3004971,-0.105508514,0.33123076,0.7185893,0.8432448,0.85656816,-0.14824632,0.061892714,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.06003,-0.39341924,-1.190947,-1.4705117,0.29754627
real,,Abeta,001,-0.67504966,-0.4072824,-0.0875859,-0.318446,-0.30699575,0.1961824,0.6184642,0.8390152,0.9361407,-0.0991389,-0.020609051,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.310434,-0.30155426,-1.2390141,-1.48677,0.18832336
real,,Abeta,002,-0.9006883,-0.79354215,0.42749897,0.83410645,-1.6430745,-1.9678762,-2.5247023,-2.8440728,-2.92179,-1.1085231,-1.1183248,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-17.199133,-1.8641669,-5.4757333,2.7533672,-0.22841154
real,,Abeta,003,-0.7409442,-0.7443503,0.049997628,0.16607225,-1.1706138,-1.5584233,-1.9390771,-2.100918,-2.2148302,-0.9961209,-1.0040464,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.52772,-1.6957458,-4.556809,1.7747959,-0.20129932
real,,Abeta,004,-0.8455514,-0.58397865,0.1277795,-0.18224491,-0.8068489,-0.23933415,0.050407507,0.21837768,0.27490145,-0.56022197,-0.42855272,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.068756,-0.8496259,-2.1092207,-0.85883605,0.02078192
real,,Abeta,005,-0.8421669,-0.5925296,0.18510154,-0.14335306,-0.8235085,-0.2799621,0.020805093,0.22322042,0.31106338,-0.60318077,-0.44425806,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.085665,-0.89354414,-2.1381133,-0.84730875,0.018019244
real,,Abeta,006,-0.74851084,-0.46962222,-0.020111889,-0.28413433,-0.5183675,0.27329084,0.7696508,0.9564831,1.0086448,-0.14332315,0.010162525,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.35216,-0.29200074,-1.2208393,-1.6456667,0.23691663
real,,Abeta,007,-0.8181396,-0.57187605,0.29813695,-0.098162495,-0.7355632,-0.17374766,0.10777805,0.26885462,0.3094913,-0.6595165,-0.3875257,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.033843,-0.93161964,-2.057744,-0.8819389,0.09133534
real,,Abeta,008,-0.6309419,-0.4391323,-0.16538869,-0.35573044,-0.26487604,0.037573986,0.28169537,0.41638958,0.5012065,-0.32112533,-0.28918156,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.567499,-0.6398461,-1.611623,-1.1141717,0.046636254
real,,Abeta,009,-0.7081873,-0.5473552,-0.14394805,-0.31036162,-0.5124767,-0.17943951,0.084210485,0.26340252,0.32604736,-0.41123414,-0.42809764,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.8266535,-0.7526385,-1.9443823,-0.95163476,-0.03404367
real,,Abeta,010,-0.547917,-0.42169705,-0.10556359,-0.32525998,-0.22607465,0.23858403,0.6543466,0.7950222,0.80772525,-0.105193295,-0.024756378,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.210433,-0.35037005,-1.2878013,-1.450539,0.20442373
real,,Abeta,011,-0.69463396,-0.5617178,0.10661957,-0.17995578,-0.5918585,-0.106570974,0.1809698,0.3518649,0.44755992,-0.5025753,-0.34255505,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.793412,-0.80076635,-1.9193196,-1.013923,0.0755434
real,,Abeta,012,-0.63798964,-0.49038696,-0.1292258,-0.32696536,-0.35015196,0.074115634,0.47871524,0.70391107,0.82396317,-0.25286523,-0.18876764,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-14.420576,-0.5106775,-1.4480774,-1.4107823,0.10118131
real,,Abeta,013,-0.9722237,-0.77998185,3.893087,5.4438004,-1.8040704,-1.6057839,-1.718196,-1.6106836,-1.5534685,-1.1131654,-0.9902473,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.87437,-1.7503086,-5.615958,2.9265096,-0.22805466
real,,Abeta,014,-0.5213358,-0.74437964,-0.31767735,-0.07892009,-0.5683191,-1.2984565,-1.4609584,-1.5780487,-1.5534263,-1.0109411,-1.0033888,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.924292,-1.7099397,-3.8429055,0.9880326,-0.2344066
real,,Abeta,015,-0.73250127,-0.75788206,0.8606397,1.1184995,-0.9519545,-1.3605703,-1.4271778,-1.3650922,-1.2905511,-1.0415385,-0.9579311,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.153694,-1.6589441,-4.1110525,1.2364416,-0.21048944
real,,Abeta,016,-0.6449707,-0.70091,-0.07618738,-0.2012748,-0.9262997,-1.2113198,-1.3188065,-1.4081737,-1.4297951,-0.9634444,-0.86467254,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.971765,-1.5729389,-3.7549515,0.8882339,-0.13040031
real,,Abeta,017,-0.9474631,-0.73955256,2.567031,2.8361003,-1.5686357,-1.0835354,-1.0976893,-1.0035559,-0.9666226,-1.0683159,-0.8468802,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.313343,-1.5733955,-4.355314,1.4607481,-0.11933304
real,,Abeta,018,-0.06354793,-0.75576633,-0.10084458,0.017417697,-0.06755495,-0.9551263,-1.0642858,-1.5557543,-1.6086054,-1.0248874,-0.99489576,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.374529,-1.846651,-3.7113376,0.849602,-0.18119319
real,,Abeta,019,-0.98532057,-0.7348416,2.073719,2.0113356,-1.8200505,-1.1578121,-1.053552,-0.90749836,-0.8583336,-1.049026,-0.8073829,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.29473,-1.5109924,-4.1759157,1.1725072,-0.094987825
real,,Abeta,020,-0.82053864,-0.698636,1.0207034,0.80604184,-1.3151871,-1.0587229,-1.0548276,-0.9517209,-0.8976063,-0.9695067,-0.7489183,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.995337,-1.4581883,-3.7300107,0.79666257,-0.059521392
real,,Abeta,021,-0.8832434,-0.7700657,2.2740123,3.4426415,-1.868485,-2.0593107,-2.1901364,-2.0593069,-1.9838893,-1.0669962,-0.950715,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.963469,-1.7422198,-5.6070395,2.9000275,-0.18121229
real,,Abeta,022,-0.8012491,-0.7440942,0.42874837,0.48626134,-1.1413372,-1.4357207,-1.5746793,-1.5026326,-1.4427191,-1.0327724,-0.9572149,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.286606,-1.6371423,-4.1218987,1.2343049,-0.20338233
real,,Abeta,023,-0.891527,-0.7353016,1.677436,1.6753781,-1.6767167,-1.4247257,-1.5193719,-1.4622544,-1.4770805,-1.037155,-0.84708357,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-16.487778,-1.5961604,-4.567311,1.6936731,-0.096178964
real,,Abeta,024,-0.87045527,-0.70957196,0.674498,0.63151324,-1.2919115,-1.1215864,-1.0460838,-0.90063906,-0.7617244,-0.9830097,-0.79975283,5.9604645e-08,2.3841858e-07,0.0,-2.9802322e-08,-15.999371,-1.459528,-3.6031585,0.62651944,-0.11869256
