,PC1,PC2,PC3,PC4,PC5
intensity_mean,0.89500266,-0.29169825,-0.29222247,0.1475638,0.049219515
intensity_std,0.09904036,-0.0837239,0.70121497,0.66030306,-0.1506169
intensity_skew,-0.040842395,-0.008566449,-0.15968718,0.16100799,0.018078204
intensity_kurt,-0.021818586,-0.008997519,-0.1292576,0.19579464,-0.018040096
freq_band0,0.11549742,-0.0074604047,0.2903115,-0.085397154,-0.013006272
freq_band1,0.11681279,0.01198022,0.23564997,-0.22453254,0.04850858
freq_band2,0.15987419,0.024244422,0.25522974,-0.36060458,0.0048859566
freq_band3,0.17527542,0.035008788,0.27083695,-0.37117156,-0.03438107
freq_band4,0.18479306,0.043911606,0.28174326,-0.35389456,-0.054871056
grad_mean,0.25415367,0.8949251,-0.10409655,0.11489694,-0.32740203
grad_std,0.070770144,0.3208057,0.11033678,0.1183703,0.9275282
gmm_mean1,-4.8622703e-16,-2.9474385e-15,-2.198824e-14,-3.8327357e-14,3.187264e-14
gmm_mean2,-1.9449081e-15,-1.1789754e-14,-8.795296e-14,-1.5330943e-13,1.2749056e-13
gmm_weight1,-0.0,0.0,0.0,0.0,0.0
gmm_std1,2.2423207e-16,1.0863443e-15,1.032196e-14,1.5934357e-14,-4.867702e-14
